Количество;Валюта;Курс к рублю
1;Австралийский доллар;59.35
1;Азербайджанский манат;51.844
100;Армянских драмов;22.7169
1;Белорусский рубль;27.4094
1;Болгарский лев;48.6677
1;Бразильский реал;16.0724
100;Венгерских форинтов;24.3023
1000;Вон Республики Корея;63.8519
10000;Вьетнамских донгов;36.3502
1;Гонконгский доллар;11.3037
1;Грузинский лари;31.6349
1;Датская крона;12.7615
1;Дирхам ОАЭ;23.9986
1;Доллар США;88.1348
1;Евро;95.57
10;Египетских фунтов;18.3549
10;Индийских рупий;10.5551
10000;Индонезийских рупий;53.9347
100;Казахстанских тенге;18.5395
1;Канадский доллар;64.7431
1;Катарский риал;24.2129
10;Киргизских сомов;10.2602
1;Китайский юань;12.0058
10;Молдавских леев;49.3031
1;Новозеландский доллар;53.9473
1;Новый туркменский манат;25.1814
10;Норвежских крон;83.4855
1;Польский злотый;22.2669
1;Румынский лей;19.1702
1;СДР (специальные права заимствования);116.0356
100;Сербских динаров;81.5073
1;Сингапурский доллар;65.285
10;Таджикских сомони;82.6936
10;Таиландских батов;24.0878
10;Турецких лир;27.0931
10000;Узбекских сумов;69.948
10;Украинских гривен;21.7371
1;Фунт стерлингов Соединенного королевства;112.4776
10;Чешских крон;37.8553
10;Шведских крон;83.9564
1;Швейцарский франк;98.1129
10;Южноафриканских рэндов;48.4199
100;Японских иен;54.7251
